runn, x, y, z 
25544, 6.518265, 3.602417, 13.788059 
25545, 6.706669, 3.948027, 14.871297 
25546, 6.894402, 3.868006, 15.748348 
25547, 7.099578, 3.695165, 16.501141 
25548, 7.137241, 3.384662, 17.120874 
25549, 7.318974, 3.139998, 17.620964 
25550, 7.477674, 2.880341, 17.997187 
25551, 2.522439, 1.910485, 0.001405 
25552, 2.543577, 1.897988, 1.597118 
25553, 2.577108, 1.919701, 3.315554 
25554, 2.618087, 1.936647, 5.053629 
25555, 2.688741, 1.927941, 6.864329 
25556, 2.597505, 1.841280, 8.742477 
25557, 2.664751, 1.873224, 10.734891 
25558, 4.639356, 3.464665, 12.407984 
25559, 6.077300, 3.941293, 13.747721 
25560, 6.409556, 4.392197, 14.827743 
25561, 6.601475, 4.338179, 15.702190 
25562, 6.824320, 4.170882, 16.452749 
25563, 6.873264, 3.881929, 17.070642 
25564, 7.064588, 3.665072, 17.569248 
25565, 7.232292, 3.438363, 17.944353 
25566, 2.386073, 2.145580, 0.009497 
25567, 2.414954, 2.123919, 1.576372 
25568, 2.446949, 2.148589, 3.263751 
25569, 2.486127, 2.170330, 4.970415 
25570, 2.556026, 2.169583, 6.748392 
25571, 2.481700, 2.087864, 8.592596 
25572, 2.544191, 2.129442, 10.549003 
25573, 4.175194, 3.742570, 12.191857 
25574, 5.695399, 4.547155, 13.507382 
25575, 5.999735, 5.020326, 14.567885 
25576, 6.193665, 5.001721, 15.426530 
25577, 6.442848, 4.842980, 16.163525 
25578, 6.504119, 4.582168, 16.770250 
25579, 6.717176, 4.410161, 17.259846 
25580, 6.734090, 4.129800, 17.628172 
25581, 2.221412, 2.406060, 0.003125 
25582, 2.258694, 2.372721, 1.567369 
25583, 2.283644, 2.395223, 3.251915 
25584, 2.315103, 2.416709, 4.955714 
25585, 2.387925, 2.429475, 6.730705 
25586, 2.313521, 2.338621, 8.571814 
25587, 2.373573, 2.394588, 10.524936 
25588, 3.784286, 4.133360, 12.165032 
25589, 5.195724, 5.164670, 13.478349 
25590, 5.464830, 5.657492, 14.537071 
25591, 5.652151, 5.675345, 15.394275 
25592, 5.938773, 5.538357, 16.130032 
25593, 6.005523, 5.306735, 16.735739 
25594, 6.208653, 5.166075, 17.224512 
25595, 6.381141, 5.029465, 17.592218 
25596, 2.041914, 2.693482, 0.007703 
25597, 2.088965, 2.645632, 1.563992 
25598, 2.117432, 2.677587, 3.239970 
25599, 2.142416, 2.698948, 4.935103 
25600, 2.208270, 2.715665, 6.701066 
25601, 2.145361, 2.627386, 8.532810 
25602, 2.192161, 2.688134, 10.475998 
25603, 3.354427, 4.519528, 12.107754 
25604, 4.621453, 5.772214, 13.414390 
25605, 4.862225, 6.295977, 14.467728 
25606, 5.037674, 6.350391, 15.320571 
25607, 5.343838, 6.219485, 16.052586 
25608, 5.410970, 6.016610, 16.655212 
25609, 5.620418, 5.925763, 17.141499 
25610, 5.782374, 5.834174, 17.507336 
25611, 1.631171, 2.831236, 0.008927 
25612, 1.698478, 2.781808, 1.580906 
25613, 1.724084, 2.819264, 3.273780 
25614, 1.753424, 2.859838, 4.986003 
25615, 1.805550, 2.877498, 6.769770 
25616, 1.743158, 2.775161, 8.619981 
25617, 1.778335, 2.848369, 10.582759 
25618, 2.716574, 4.917215, 12.230965 
25619, 3.657990, 6.274650, 13.550775 
25620, 3.852894, 6.825140, 14.614732 
25621, 4.004272, 6.928738, 15.476172 
25622, 4.351449, 6.846727, 16.215567 
25623, 4.409575, 6.681667, 16.824270 
25624, 4.592652, 6.631796, 17.315458 
25625, 4.735015, 6.607594, 17.684984 
25626, 1.243751, 2.900461, 0.010070 
25627, 1.319244, 2.831999, 1.602457 
25628, 1.343312, 2.878609, 3.317311 
25629, 1.362982, 2.916903, 5.051763 
25630, 1.410912, 2.949539, 6.858688 
25631, 1.359756, 2.849807, 8.732922 
25632, 1.378536, 2.924337, 10.721182 
25633, 2.141000, 5.362400, 12.390786 
25634, 2.776623, 6.749214, 13.727731 
25635, 2.855743, 7.154124, 14.805502 
25636, 2.976656, 7.300016, 15.678127 
25637, 3.342404, 7.248751, 16.427120 
25638, 3.385116, 7.113645, 17.043726 
25639, 3.543994, 7.106276, 17.541292 
25640, 3.641579, 7.112207, 17.915615 
25641, 1.006091, 3.076571, 0.003660 
25642, 1.077824, 2.943747, 1.592129 
25643, 1.090791, 2.973215, 3.302763 
25644, 1.039910, 2.834363, 5.032948 
25645, 1.078209, 2.867041, 6.835428 
25646, 1.090643, 2.918579, 8.705049 
25647, 1.096540, 2.990491, 10.688417 
25648, 1.588613, 5.415809, 12.353914 
25649, 2.034651, 6.914807, 13.687569 
25650, 2.088372, 7.311043, 14.762688 
25651, 2.179451, 7.478992, 15.633165 
25652, 2.559292, 7.459565, 16.380316 
25653, 2.590343, 7.351772, 16.995405 
25654, 2.720303, 7.354292, 17.491747 
25655, 2.789711, 7.395276, 17.865149 
25656, 0.796186, 3.271647, 0.004411 
25657, 0.816152, 2.868637, 1.570867 
25658, 0.824141, 2.889875, 3.257795 
25659, 0.830705, 2.917377, 4.964003 
25660, 0.861232, 2.943910, 6.741504 
25661, 0.864003, 2.987105, 8.585216 
25662, 0.857701, 3.050361, 10.541099 
25663, 1.125870, 5.464013, 12.183515 
25664, 1.359123, 6.854979, 13.498687 
25665, 1.430049, 7.434676, 14.558907 
25666, 1.492738, 7.615632, 15.417322 
25667, 1.884242, 7.623423, 16.154118 
25668, 1.894882, 7.507923, 16.760683 
25669, 2.007054, 7.538841, 17.250147 
25670, 2.040320, 7.577679, 17.618374 
25671, 0.628051, 3.455747, 0.008622 
25672, 0.663235, 2.952837, 1.566053 
25673, 0.668209, 2.966582, 3.243262 
25674, 0.670488, 2.986850, 4.939640 
25675, 0.695758, 3.007164, 6.706901 
25676, 0.691810, 3.042342, 8.539990 
25677, 0.637231, 2.915931, 10.484606 
25678, 0.749282, 5.293118, 12.117559 
25679, 0.880693, 6.908092, 13.425156 
25680, 0.924475, 7.490369, 14.479267 
25681, 0.964528, 7.678275, 15.332737 
25682, 1.363531, 7.707780, 16.065289 
25683, 1.361930, 7.593983, 16.668358 
25684, 1.455984, 7.633090, 17.155003 
25685, 1.464831, 7.676602, 17.521109 
25686, 0.527868, 3.584915, 0.005310 
25687, 0.576983, 3.018055, 1.556354 
25688, 0.580388, 3.026094, 3.226684 
25689, 0.580320, 3.040742, 4.916104 
25690, 0.602784, 3.055884, 6.676116 
25691, 0.559942, 2.902702, 8.501687 
25692, 0.539035, 2.936153, 10.438326 
25693, 0.537659, 5.103440, 12.064582 
25694, 0.607331, 6.920739, 13.366815 
25695, 0.635512, 7.503200, 14.416602 
25696, 0.662348, 7.693380, 15.266572 
25697, 1.064776, 7.735188, 15.996119 
25698, 1.056136, 7.620883, 16.596716 
25699, 1.139560, 7.663197, 17.081362 
25700, 1.134339, 7.707563, 17.445967 
25701, 4.219523, 2.587831, 0.000301 
25702, 4.251160, 2.588869, 1.613826 
25703, 4.299000, 2.608725, 3.351443 
25704, 4.356737, 2.617331, 5.108919 
25705, 4.452720, 2.579063, 6.939830 
25706, 4.414836, 2.441383, 8.838942 
25707, 4.532722, 2.392273, 10.853595 
25708, 7.192803, 3.734332, 12.545362 
25709, 8.090904, 4.086834, 13.900054 
25710, 8.415800, 4.141356, 14.992131 
25711, 8.555851, 4.117707, 15.876340 
25712, 8.761211, 3.907414, 16.635277 
25713, 8.776293, 3.639015, 17.260067 
